planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Museum,Bras Basah,education,17,4.564,4265,91.28
Museum,Bras Basah,transport,4,4.5,2228,90.0
Museum,Bras Basah,food,9,4.1,48368,82.0
Museum,Bras Basah,shopping,8,3.738,37587,74.76
Museum,Bras Basah,recreation,12,4.392,13748,87.84
Museum,Bras Basah,nature,11,4.291,187648,85.82
Museum,Dhoby Ghaut,education,17,4.58,8088,91.6
Museum,Dhoby Ghaut,transport,4,4.35,1282,87.0
Museum,Dhoby Ghaut,food,9,4.378,102002,87.56
Museum,Dhoby Ghaut,shopping,7,3.743,47417,74.86
Museum,Dhoby Ghaut,recreation,12,4.35,14383,87.0
Museum,Dhoby Ghaut,nature,11,4.509,36896,90.18
Museum,Fort Canning,education,13,4.556,15079,91.12
Museum,Fort Canning,transport,4,4.15,510,83.0
Museum,Fort Canning,food,6,4.433,76914,88.66
Museum,Fort Canning,shopping,10,4.33,70439,86.6
Museum,Fort Canning,recreation,11,4.409,15953,88.18
Museum,Fort Canning,nature,3,4.467,14806,89.34
