planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Marine Parade,East Coast,education,20,4.437,2610,88.74
Marine Parade,East Coast,transport,20,4.235,849,84.7
Marine Parade,East Coast,food,20,4.195,78525,83.9
Marine Parade,East Coast,shopping,20,4.135,44726,82.7
Marine Parade,East Coast,recreation,20,4.4,6406,88.0
Marine Parade,East Coast,nature,20,4.45,63690,89.0
Marine Parade,Katong,education,20,4.745,464,94.9
Marine Parade,Katong,transport,20,4.225,744,84.5
Marine Parade,Katong,food,20,4.24,22844,84.8
Marine Parade,Katong,shopping,20,4.16,50624,83.2
Marine Parade,Katong,recreation,20,4.384,12932,87.68
Marine Parade,Katong,nature,20,4.455,66393,89.1
Marine Parade,Marina East (Mp),education,20,4.589,2514,91.78
Marine Parade,Marina East (Mp),transport,20,4.01,3326,80.2
Marine Parade,Marina East (Mp),food,20,4.08,83204,81.6
Marine Parade,Marina East (Mp),shopping,20,4.26,139467,85.2
Marine Parade,Marina East (Mp),recreation,20,4.35,13085,87.0
Marine Parade,Marina East (Mp),nature,20,4.46,221368,89.2
Marine Parade,Marine Parade,education,20,4.31,811,86.2
Marine Parade,Marine Parade,transport,20,3.94,1214,78.8
Marine Parade,Marine Parade,food,20,4.06,45682,81.2
Marine Parade,Marine Parade,shopping,20,4.24,119383,84.8
Marine Parade,Marine Parade,recreation,20,4.3,6585,86.0
Marine Parade,Marine Parade,nature,20,4.295,207753,85.9
Marine Parade,Mountbatten,education,20,4.574,3822,91.48
Marine Parade,Mountbatten,transport,20,4.21,850,84.2
Marine Parade,Mountbatten,food,20,4.15,52908,83.0
Marine Parade,Mountbatten,shopping,20,4.18,109866,83.6
Marine Parade,Mountbatten,recreation,20,4.215,7238,84.3
Marine Parade,Mountbatten,nature,20,4.455,31779,89.1
