planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Mandai,Mandai East,education,20,4.771,3663,95.42
Mandai,Mandai East,transport,20,4.059,595,81.18
Mandai,Mandai East,food,20,4.215,37972,84.3
Mandai,Mandai East,shopping,20,4.295,46669,85.9
Mandai,Mandai East,recreation,20,4.035,11065,80.7
Mandai,Mandai East,nature,16,4.494,34478,89.88
Mandai,Mandai Estate,education,20,4.847,2016,96.94
Mandai,Mandai Estate,transport,20,3.994,198,79.88
Mandai,Mandai Estate,food,20,4.215,105545,84.3
Mandai,Mandai Estate,shopping,20,4.205,50013,84.1
Mandai,Mandai Estate,recreation,20,4.035,10889,80.7
Mandai,Mandai Estate,nature,20,4.47,37051,89.4
Mandai,Mandai West,education,20,4.6,3840,92.0
Mandai,Mandai West,transport,20,3.994,243,79.88
Mandai,Mandai West,food,20,4.22,115616,84.4
Mandai,Mandai West,shopping,20,4.25,58195,85.0
Mandai,Mandai West,recreation,20,4.08,10412,81.6
Mandai,Mandai West,nature,20,4.49,46597,89.8
