planning_area,subzone,poi_dimension,facility_count,avg_rating,total_user_ratings,rating_100
Jurong West,Boon Lay Place,education,17,4.508,4475,90.16
Jurong West,Boon Lay Place,transport,5,4.08,627,81.6
Jurong West,Boon Lay Place,food,6,4.05,11165,81.0
Jurong West,Boon Lay Place,shopping,6,3.733,31532,74.66
Jurong West,Boon Lay Place,recreation,10,4.41,4623,88.2
Jurong West,Boon Lay Place,nature,8,4.188,10141,83.76
Jurong West,Chin Bee,education,17,4.515,2153,90.3
Jurong West,Chin Bee,transport,8,4.012,1396,80.24
Jurong West,Chin Bee,food,8,4.338,10669,86.76
Jurong West,Chin Bee,shopping,10,3.78,54549,75.6
Jurong West,Chin Bee,recreation,11,4.436,7520,88.72
Jurong West,Chin Bee,nature,9,4.367,18327,87.34
Jurong West,Hong Kah,education,17,4.469,3195,89.38
Jurong West,Hong Kah,transport,5,4.18,2657,83.6
Jurong West,Hong Kah,food,5,4.14,7275,82.8
Jurong West,Hong Kah,shopping,7,3.757,31728,75.14
Jurong West,Hong Kah,recreation,12,4.233,9925,84.66
Jurong West,Hong Kah,nature,9,4.222,11996,84.44
Jurong West,Jurong West Central,education,15,4.236,1783,84.72
Jurong West,Jurong West Central,transport,6,4.15,316,83.0
Jurong West,Jurong West Central,food,9,3.956,15042,79.12
Jurong West,Jurong West Central,shopping,9,3.633,37845,72.66
Jurong West,Jurong West Central,recreation,9,4.411,9890,88.22
Jurong West,Jurong West Central,nature,8,4.15,4456,83.0
Jurong West,Kian Teck,education,16,4.65,2786,93.0
Jurong West,Kian Teck,transport,4,4.475,757,89.5
Jurong West,Kian Teck,food,5,3.96,2395,79.2
Jurong West,Kian Teck,shopping,8,4.012,42770,80.24
Jurong West,Kian Teck,recreation,11,4.236,7791,84.72
Jurong West,Kian Teck,nature,10,4.08,19535,81.6
Jurong West,Safti,education,14,4.636,2117,92.72
Jurong West,Safti,transport,5,3.84,141,76.8
Jurong West,Safti,food,9,4.1,10641,82.0
Jurong West,Safti,shopping,8,3.938,34794,78.76
Jurong West,Safti,recreation,12,4.408,7752,88.16
Jurong West,Safti,nature,10,4.3,12618,86.0
Jurong West,Taman Jurong,education,14,4.42,3230,88.4
Jurong West,Taman Jurong,transport,6,3.6,163,72.0
Jurong West,Taman Jurong,food,7,4.171,8086,83.42
Jurong West,Taman Jurong,shopping,9,3.711,38347,74.22
Jurong West,Taman Jurong,recreation,12,4.308,10291,86.16
Jurong West,Taman Jurong,nature,7,4.171,9541,83.42
Jurong West,Wenya,education,18,4.569,2333,91.38
Jurong West,Wenya,transport,6,4.317,1163,86.34
Jurong West,Wenya,food,7,4.1,14942,82.0
Jurong West,Wenya,shopping,9,4.0,32176,80.0
Jurong West,Wenya,recreation,11,4.3,8596,86.0
Jurong West,Wenya,nature,10,4.23,14355,84.6
Jurong West,Yunnan,education,17,4.277,2723,85.54
Jurong West,Yunnan,transport,7,4.114,3257,82.28
Jurong West,Yunnan,food,10,3.88,8803,77.6
Jurong West,Yunnan,shopping,9,3.944,45611,78.88
Jurong West,Yunnan,recreation,11,4.245,10229,84.9
Jurong West,Yunnan,nature,3,3.9,661,78.0
